Date,StockCode,ProductName,DailyDemand,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,DayOfYear,IsWeekend,IsMonthStart,IsMonthEnd,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Demand_Lag_1,Demand_Lag_2,Demand_Lag_3,Demand_Lag_7,Demand_Lag_14,Demand_Lag_30,Demand_RollingMean_7,Demand_RollingStd_7,Demand_RollingMean_14,Demand_RollingStd_14,Demand_RollingMean_30,Demand_RollingStd_30
2010-12-01,85123A,WHITE HANGING HEART T-LIGHT HOLDER,441.0,2010,12,1,2,48,4,335,0,1,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,441.0,0.0,441.0,0.0
2010-12-02,85123A,WHITE HANGING HEART T-LIGHT HOLDER,309.0,2010,12,2,3,48,4,336,0,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,441.0,0.0,0.0,0.0,0.0,0.0,375.0,93.33809511662427,375.0,93.33809511662427,375.0,93.33809511662427
2010-12-03,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20.0,2010,12,3,4,48,4,337,0,0,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,309.0,441.0,0.0,0.0,0.0,0.0,256.6666666666667,215.3237871981016,256.6666666666667,215.3237871981016,256.6666666666667,215.3237871981016
2010-12-04,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,4,5,48,4,338,1,0,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,20.0,309.0,441.0,0.0,0.0,0.0,192.5,217.66717713059083,192.5,217.66717713059083,192.5,217.66717713059083
2010-12-05,85123A,WHITE HANGING HEART T-LIGHT HOLDER,198.0,2010,12,5,6,48,4,339,1,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,0.0,20.0,309.0,0.0,0.0,0.0,193.6,188.52135157588916,193.6,188.52135157588916,193.6,188.52135157588916
2010-12-06,85123A,WHITE HANGING HEART T-LIGHT HOLDER,136.0,2010,12,6,0,49,4,340,0,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,198.0,0.0,20.0,0.0,0.0,0.0,184.0,170.25040381743594,184.0,170.25040381743594,184.0,170.25040381743594
2010-12-07,85123A,WHITE HANGING HEART T-LIGHT HOLDER,322.0,2010,12,7,1,49,4,341,0,0,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,136.0,198.0,0.0,0.0,0.0,0.0,203.71428571428572,163.9356726338254,203.71428571428572,163.9356726338254,203.71428571428572,163.9356726338254
2010-12-08,85123A,WHITE HANGING HEART T-LIGHT HOLDER,149.0,2010,12,8,2,49,4,342,0,0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,322.0,136.0,198.0,441.0,0.0,0.0,162.0,126.33157430613564,196.875,153.00274273918845,196.875,153.00274273918845
2010-12-09,85123A,WHITE HANGING HEART T-LIGHT HOLDER,188.0,2010,12,9,3,49,4,343,0,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,149.0,322.0,136.0,309.0,0.0,0.0,144.71428571428572,110.1010358499778,195.88888888888889,143.15153199009472,195.88888888888889,143.15153199009472
2010-12-10,85123A,WHITE HANGING HEART T-LIGHT HOLDER,152.0,2010,12,10,4,49,4,344,0,0,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,188.0,149.0,322.0,20.0,0.0,0.0,163.57142857142858,95.51938222660563,191.5,135.67628958501024,191.5,135.67628958501024
2010-12-11,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,11,5,49,4,345,1,0,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,152.0,188.0,149.0,0.0,0.0,0.0,163.57142857142858,95.51938222660563,174.0909090909091,141.07122636842323,174.0909090909091,141.07122636842323
2010-12-12,85123A,WHITE HANGING HEART T-LIGHT HOLDER,42.0,2010,12,12,6,49,4,346,1,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,0.0,152.0,188.0,198.0,0.0,0.0,141.28571428571428,103.97229484453106,163.08333333333334,139.8066576209857,163.08333333333334,139.8066576209857
2010-12-13,85123A,WHITE HANGING HEART T-LIGHT HOLDER,303.0,2010,12,13,0,50,4,347,0,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,42.0,0.0,152.0,136.0,0.0,0.0,165.14285714285714,120.4165389684609,173.84615384615384,139.36633151150372,173.84615384615384,139.36633151150372
2010-12-14,85123A,WHITE HANGING HEART T-LIGHT HOLDER,185.0,2010,12,14,1,50,4,348,0,0,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,303.0,42.0,0.0,322.0,0.0,0.0,145.57142857142858,100.09138681368002,174.64285714285714,133.9320190032455,174.64285714285714,133.9320190032455
2010-12-15,85123A,WHITE HANGING HEART T-LIGHT HOLDER,112.0,2010,12,15,2,50,4,349,0,0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,185.0,303.0,42.0,149.0,441.0,0.0,140.28571428571428,100.85420877966092,151.14285714285714,110.39708548470146,170.46666666666667,130.06968828102805
2010-12-16,85123A,WHITE HANGING HEART T-LIGHT HOLDER,790.0,2010,12,16,3,50,4,350,0,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,112.0,185.0,303.0,188.0,309.0,0.0,226.28571428571428,267.42894027243597,185.5,200.98440429354403,209.1875,199.4469749916838
2010-12-17,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32.0,2010,12,17,4,50,4,351,0,0,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,790.0,112.0,185.0,152.0,20.0,0.0,209.14285714285714,276.67094087346715,186.35714285714286,200.2485406238408,198.76470588235293,197.83753732916963
2010-12-18,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,18,5,50,4,352,1,0,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,32.0,790.0,112.0,0.0,0.0,0.0,209.14285714285714,276.67094087346715,186.35714285714286,200.2485406238408,187.72222222222223,197.56571670788597
2010-12-19,85123A,WHITE HANGING HEART T-LIGHT HOLDER,42.0,2010,12,19,6,50,4,353,1,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,0.0,32.0,790.0,42.0,198.0,0.0,209.14285714285714,276.67094087346715,175.21428571428572,203.8586156257203,180.05263157894737,194.888137055369
2010-12-20,85123A,WHITE HANGING HEART T-LIGHT HOLDER,83.0,2010,12,20,0,51,4,354,0,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,42.0,0.0,32.0,303.0,136.0,0.0,177.71428571428572,276.72773279026103,171.42857142857142,205.13099540226796,175.2,190.92754205663854
2010-12-21,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36.0,2010,12,21,1,51,4,355,0,0,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,83.0,42.0,0.0,185.0,322.0,0.0,156.42857142857142,281.7586775610512,151.0,203.21455126578377,168.57142857142858,188.55597880432524
2010-12-22,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24.0,2010,12,22,2,51,4,356,0,0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,36.0,83.0,42.0,112.0,149.0,0.0,143.85714285714286,286.002580740937,142.07142857142858,206.03564452100713,162.0,186.5754028600259
2010-12-23,85123A,WHITE HANGING HEART T-LIGHT HOLDER,47.0,2010,12,23,3,51,4,357,0,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,24.0,36.0,83.0,790.0,188.0,0.0,37.714285714285715,25.17084481243021,132.0,207.0614921670892,157.0,183.85616908086308
2010-12-24,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,24,4,51,4,358,0,0,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,47.0,24.0,36.0,32.0,152.0,0.0,33.142857142857146,28.9967157417791,121.14285714285714,209.89772496398086,150.45833333333334,182.64838617139355
2010-12-25,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,25,5,51,4,359,1,0,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,0.0,47.0,24.0,0.0,0.0,0.0,33.142857142857146,28.9967157417791,121.14285714285714,209.89772496398086,144.44,181.31718984512565
2010-12-26,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,26,6,51,4,360,1,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,0.0,0.0,47.0,42.0,42.0,0.0,27.142857142857142,31.125705193770948,118.14285714285714,211.41059472136104,138.8846153846154,179.8980437743728
2010-12-27,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,27,0,52,4,361,0,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,0.0,0.0,0.0,83.0,303.0,0.0,15.285714285714286,20.188398365681312,96.5,206.48253790947666,133.74074074074073,178.41796058964653
2010-12-28,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,28,1,52,4,362,0,0,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0,36.0,185.0,0.0,10.142857142857142,18.551087761715547,83.28571428571429,206.30277546566157,128.96428571428572,176.8976440064323
2010-12-29,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,29,2,52,4,363,0,0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.0,24.0,112.0,0.0,6.714285714285714,17.7643302314341,75.28571428571429,207.272926196515,124.51724137931035,175.35303587938884
2010-12-30,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,30,3,52,4,364,0,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,0.0,0.0,0.0,47.0,790.0,0.0,0.0,0.0,18.857142857142858,25.987740135738175,120.36666666666666,173.7964491787057
2010-12-31,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,12,31,4,52,4,365,0,0,1,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0.0,32.0,441.0,0.0,0.0,16.571428571428573,26.149611809780605,105.66666666666667,164.12260625842336
2011-01-01,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2011,1,1,5,52,1,1,1,1,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,16.571428571428573,26.149611809780605,95.36666666666666,160.5796576057553
2011-01-02,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2011,1,2,6,52,1,2,1,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.0,42.0,20.0,0.0,0.0,13.571428571428571,25.406583900527146,94.7,160.94444318802513
2011-01-03,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2011,1,3,0,1,1,3,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,7.642857142857143,15.843499724382351,94.7,160.94444318802513
2011-01-04,85123A,WHITE HANGING HEART T-LIGHT HOLDER,66.0,2011,1,4,1,1,1,4,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0,0.0,36.0,198.0,9.428571428571429,24.9456552186093,9.785714285714286,21.12300448992374,90.3,159.82342627477016
2011-01-05,85123A,WHITE HANGING HEART T-LIGHT HOLDER,304.0,2011,1,5,2,1,1,5,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,66.0,0.0,0.0,0.0,24.0,136.0,52.857142857142854,113.44224458790858,29.785714285714285,81.59956501715575,95.9,164.35880640044604
2011-01-06,85123A,WHITE HANGING HEART T-LIGHT HOLDER,171.0,2011,1,6,3,1,1,6,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,304.0,66.0,0.0,0.0,47.0,322.0,77.28571428571429,118.4633758955545,38.642857142857146,89.91757519901405,90.86666666666666,159.43428725974533
2011-01-07,85123A,WHITE HANGING HEART T-LIGHT HOLDER,334.0,2011,1,7,4,1,1,7,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,171.0,304.0,66.0,0.0,0.0,149.0,125.0,146.16999236049335,62.5,118.60778934078363,97.03333333333333,165.2326433752774
2011-01-08,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2011,1,8,5,1,1,8,1,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,334.0,171.0,304.0,0.0,0.0,188.0,125.0,146.16999236049335,62.5,118.60778934078363,90.76666666666667,165.22871991593192
2011-01-09,85123A,WHITE HANGING HEART T-LIGHT HOLDER,97.0,2011,1,9,6,1,1,9,1,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,334.0,171.0,0.0,0.0,152.0,138.85714285714286,136.63141240996845,69.42857142857143,117.50398637147093,88.93333333333334,164.83051553209046
2011-01-10,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12.0,2011,1,10,0,2,1,10,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,97.0,0.0,334.0,0.0,0.0,0.0,140.57142857142858,134.65988903265045,70.28571428571429,117.0012679559359,89.33333333333333,164.62168402301901
2011-01-11,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3114.0,2011,1,11,1,2,1,11,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,12.0,97.0,0.0,66.0,0.0,42.0,576.0,1126.7453128369339,292.7142857142857,820.1582800872063,191.73333333333332,575.886239564326
2011-01-12,85123A,WHITE HANGING HEART T-LIGHT HOLDER,80.0,2011,1,12,2,2,1,12,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,3114.0,12.0,97.0,304.0,0.0,303.0,544.0,1138.8732736056866,298.42857142857144,818.2384187326516,184.3,575.839725666068
2011-01-13,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6.0,2011,1,13,3,2,1,13,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,80.0,3114.0,12.0,171.0,0.0,185.0,520.4285714285714,1149.5375674799059,298.85714285714283,818.0716403782793,178.33333333333334,576.7588591510281
2011-01-14,85123A,WHITE HANGING HEART T-LIGHT HOLDER,89.0,2011,1,14,4,2,1,14,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,6.0,80.0,3114.0,334.0,0.0,112.0,485.42857142857144,1159.8433597032054,305.2142857142857,815.9135680630948,177.56666666666666,576.8653511291291
2011-01-15,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2011,1,15,5,2,1,15,1,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,89.0,6.0,80.0,0.0,0.0,790.0,485.42857142857144,1159.8433597032054,305.2142857142857,815.9135680630948,151.23333333333332,565.8709298023732
2011-01-16,85123A,WHITE HANGING HEART T-LIGHT HOLDER,23.0,2011,1,16,6,2,1,16,1,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,89.0,6.0,97.0,0.0,32.0,474.85714285714283,1164.302427575045,306.85714285714283,815.2746452900072,150.93333333333334,565.9387034758747
2011-01-17,85123A,WHITE HANGING HEART T-LIGHT HOLDER,174.0,2011,1,17,0,3,1,17,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,23.0,0.0,89.0,12.0,0.0,0.0,498.0,1155.142848309247,319.2857142857143,811.5546740737736,156.73333333333332,565.2297020609888
2011-01-18,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18.0,2011,1,18,1,3,1,18,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,174.0,23.0,0.0,3114.0,66.0,42.0,55.714285714285715,62.92512557453842,315.85714285714283,812.8074667607194,155.93333333333334,565.414643903242
